hours_studied,previous_scores,extracurricular_activities,sleep_hours,sample_question_papers_practiced,performance_index,total_study_hours_proxy,g_avg
7,70,1,9,6,65.0,11.200000000000001,70
6,75,1,4,1,63.0,6.6000000000000005,75
3,83,1,4,1,63.0,3.3000000000000003,83
6,72,0,5,4,58.0,8.399999999999999,72
6,72,0,5,8,62.0,10.8,72
5,78,0,6,4,61.0,7.0,78
4,57,1,6,7,40.0,6.8,57
1,62,0,6,7,39.0,1.7,62
6,99,1,6,4,89.0,8.399999999999999,99
2,62,0,9,7,40.0,3.4,62
3,54,0,9,7,35.0,5.1,54
8,65,0,4,4,55.0,11.2,65
6,69,0,5,4,60.0,8.399999999999999,69
3,64,0,5,3,45.0,3.9000000000000004,64
7,84,0,7,0,76.0,7.0,84
4,55,1,5,8,38.0,7.2,55
9,78,1,5,1,73.0,9.9,78
5,87,1,8,0,72.0,5.0,87
3,84,1,8,5,68.0,4.5,84
2,53,1,7,4,27.0,2.8,53
2,56,0,6,0,33.0,2.0,56
3,51,1,7,6,28.0,4.800000000000001,51
2,68,1,7,6,46.0,3.2,68
4,71,1,4,2,52.0,4.8,71
2,95,1,9,7,72.0,3.4,95
9,63,1,5,5,58.0,13.5,63
2,91,1,4,3,69.0,2.6,91
9,52,1,9,9,54.0,17.099999999999998,52
6,95,1,5,9,85.0,11.399999999999999,95
1,59,1,7,9,33.0,1.9,59
4,54,0,5,2,33.0,4.8,54
1,95,1,6,0,67.0,1.0,95
6,92,1,6,1,80.0,6.6000000000000005,92
4,43,0,7,1,25.0,4.4,43
3,93,0,8,4,76.0,4.199999999999999,93
3,73,1,6,3,53.0,3.9000000000000004,73
9,67,1,7,1,63.0,9.9,67
6,89,1,4,8,75.0,10.8,89
9,41,0,8,6,38.0,14.4,41
5,96,1,6,7,79.0,8.5,96
2,86,0,7,7,63.0,3.4,86
8,69,0,7,1,60.0,8.8,69
5,65,0,4,4,49.0,7.0,65
2,90,0,4,2,66.0,2.4,90
4,86,0,8,9,71.0,7.6,86
9,65,1,9,8,66.0,16.2,65
4,59,1,6,8,41.0,7.2,59
4,81,0,7,5,67.0,6.0,81
2,67,0,8,3,46.0,2.6,67
6,95,0,8,7,86.0,10.2,95
2,59,0,4,4,37.0,2.8,59
7,50,1,7,2,42.0,8.4,50
3,97,0,5,7,77.0,5.1,97
3,49,0,9,5,32.0,4.5,49
5,62,1,9,4,47.0,7.0,62
3,76,1,4,0,54.0,3.0,76
2,80,1,7,2,60.0,2.4,80
9,91,1,8,6,89.0,14.4,91
2,58,0,9,2,34.0,2.4,58
2,84,0,8,0,59.0,2.0,84
8,57,0,6,7,52.0,13.6,57
9,88,0,5,6,84.0,14.4,88
7,66,0,4,4,57.0,9.799999999999999,66
3,45,0,9,9,30.0,5.699999999999999,45
9,49,0,6,4,47.0,12.6,49
3,41,0,6,5,15.0,4.5,41
5,63,0,5,6,49.0,8.0,63
9,77,1,4,2,74.0,10.799999999999999,77
3,67,0,4,3,45.0,3.9000000000000004,67
7,67,1,8,0,61.0,7.0,67
1,92,1,4,6,67.0,1.6,92
4,84,1,6,9,64.0,7.6,84
4,89,1,8,1,73.0,4.4,89
7,78,0,4,6,68.0,11.200000000000001,78
8,41,1,5,5,33.0,12.0,41
1,85,1,6,3,60.0,1.3,85
5,44,0,7,1,30.0,5.5,44
7,89,1,5,6,82.0,11.200000000000001,89
4,50,0,5,6,33.0,6.4,50
4,49,0,4,4,28.0,5.6,49
4,82,0,8,8,64.0,7.2,82
6,98,0,8,2,88.0,7.199999999999999,98
7,41,1,6,8,35.0,12.6,41
2,54,0,4,4,30.0,2.8,54
5,78,1,8,1,60.0,5.5,78
4,80,1,9,8,66.0,7.2,80
3,76,0,7,0,52.0,3.0,76
7,46,1,9,0,39.0,7.0,46
6,59,0,4,6,45.0,9.600000000000001,59
7,73,1,4,2,64.0,8.4,73
5,74,1,8,7,66.0,8.5,74
6,73,1,5,6,61.0,9.600000000000001,73
5,92,1,4,6,76.0,8.0,92
7,61,0,5,0,49.0,7.0,61
2,70,0,6,0,43.0,2.0,70
5,62,1,6,1,45.0,5.5,62
6,58,1,8,1,49.0,6.6000000000000005,58
6,43,1,6,4,27.0,8.399999999999999,43
5,63,1,9,8,50.0,9.0,63
7,59,0,9,6,52.0,11.200000000000001,59
8,78,1,9,1,72.0,8.8,78
7,67,1,8,4,62.0,9.799999999999999,67
5,93,1,8,4,80.0,7.0,93
1,78,0,9,7,53.0,1.7,78
5,56,1,5,8,42.0,9.0,56
2,58,0,9,7,37.0,3.4,58
5,93,0,5,1,77.0,5.5,93
5,87,1,6,3,73.0,6.5,87
2,74,1,5,1,46.0,2.2,74
5,71,1,4,5,54.0,7.5,71
4,86,0,7,3,70.0,5.2,86
1,85,0,4,6,60.0,1.6,85
3,86,1,4,1,67.0,3.3000000000000003,86
1,85,0,8,8,58.0,1.8,85
5,78,1,7,4,63.0,7.0,78
4,96,1,8,0,83.0,4.0,96
7,74,1,5,2,64.0,8.4,74
5,69,1,9,3,57.0,6.5,69
4,56,1,5,2,45.0,4.8,56
2,81,1,7,5,61.0,3.0,81
4,86,0,6,5,68.0,6.0,86
2,68,0,5,9,45.0,3.8,68
8,45,0,4,6,39.0,12.8,45
3,99,1,7,8,77.0,5.4,99
9,56,1,7,9,55.0,17.099999999999998,56
4,56,1,5,8,38.0,7.2,56
6,53,0,5,6,40.0,9.600000000000001,53
5,63,1,8,0,49.0,5.0,63
1,96,0,8,2,74.0,1.2,96
9,89,1,4,4,86.0,12.6,89
1,96,0,7,9,72.0,1.9,96
8,76,1,6,5,72.0,12.0,76
9,79,1,6,5,77.0,13.5,79
9,78,0,7,4,76.0,12.6,78
1,94,0,4,5,67.0,1.5,94
2,71,0,8,8,52.0,3.6,71
1,75,1,8,0,52.0,1.0,75
2,89,0,8,0,67.0,2.0,89
8,76,0,6,8,66.0,14.4,76
5,87,1,6,7,74.0,8.5,87
7,53,1,4,8,40.0,12.6,53
2,66,0,6,6,44.0,3.2,66
8,98,1,5,9,97.0,15.2,98
6,58,0,6,5,48.0,9.0,58
8,70,0,8,8,65.0,14.4,70
1,85,0,4,1,57.0,1.1,85
1,48,1,7,3,19.0,1.3,48
7,77,0,7,1,68.0,7.700000000000001,77
8,56,0,4,5,48.0,12.0,56
3,58,1,5,0,34.0,3.0,58
5,83,0,7,6,67.0,8.0,83
1,43,0,8,6,15.0,1.6,43
7,87,0,7,6,83.0,11.200000000000001,87
5,96,1,7,3,83.0,6.5,96
8,50,0,8,7,46.0,13.6,50
8,61,1,6,4,57.0,11.2,61
9,43,1,5,1,42.0,9.9,43
7,56,0,8,4,51.0,9.799999999999999,56
1,47,0,8,9,24.0,1.9,47
3,85,1,9,8,64.0,5.4,85
8,98,0,4,9,94.0,15.2,98
3,73,0,5,0,50.0,3.0,73
8,50,1,6,1,41.0,8.8,50
1,70,0,9,9,45.0,1.9,70
5,50,0,8,7,37.0,8.5,50
4,95,1,9,4,75.0,5.6,95
5,93,0,6,8,80.0,9.0,93
8,95,1,9,5,94.0,12.0,95
4,77,1,9,7,62.0,6.8,77
4,92,0,9,0,73.0,4.0,92
3,60,1,8,8,43.0,5.4,60
7,85,0,8,8,78.0,12.6,85
3,69,0,4,2,51.0,3.5999999999999996,69
3,49,1,7,0,24.0,3.0,49
5,65,1,5,7,46.0,8.5,65
5,66,1,4,7,51.0,8.5,66
6,47,1,6,8,35.0,10.8,47
8,78,1,9,5,75.0,12.0,78
6,47,1,8,8,38.0,10.8,47
1,99,0,9,9,79.0,1.9,99
8,47,0,8,8,42.0,14.4,47
8,94,1,5,3,89.0,10.4,94
9,73,0,4,4,66.0,12.6,73
9,98,1,4,5,100.0,13.5,98
2,55,1,6,5,34.0,3.0,55
2,80,0,4,9,59.0,3.8,80
3,52,0,4,1,28.0,3.3000000000000003,52
1,62,1,7,3,39.0,1.3,62
4,51,1,5,8,36.0,7.2,51
4,66,1,9,6,52.0,6.4,66
9,61,0,4,8,57.0,16.2,61
9,71,1,6,5,66.0,13.5,71
9,96,1,9,6,95.0,14.4,96
7,88,0,8,8,79.0,12.6,88
2,66,0,4,3,42.0,2.6,66
5,41,0,4,8,23.0,9.0,41
4,84,1,9,2,67.0,4.8,84
8,72,1,8,7,64.0,13.6,72
2,65,0,7,2,43.0,2.4,65
6,67,1,5,2,56.0,7.199999999999999,67
5,58,1,7,2,43.0,6.0,58
2,82,0,6,8,55.0,3.6,82
1,44,0,9,9,16.0,1.9,44
8,72,1,4,2,65.0,9.6,72
2,59,0,7,5,38.0,3.0,59
7,69,0,5,3,57.0,9.1,69
9,84,1,6,1,83.0,9.9,84
9,47,1,7,2,47.0,10.799999999999999,47
8,77,1,4,4,71.0,11.2,77
9,56,1,5,9,56.0,17.099999999999998,56
2,83,1,4,3,57.0,2.6,83
6,40,1,4,4,23.0,8.399999999999999,40
4,42,0,6,0,27.0,4.0,42
4,85,0,5,3,65.0,5.2,85
5,65,0,8,9,54.0,9.5,65
3,70,1,4,2,50.0,3.5999999999999996,70
1,47,1,5,1,23.0,1.1,47
8,82,1,4,6,77.0,12.8,82
5,98,1,7,9,83.0,9.5,98
3,85,1,7,8,66.0,5.4,85
7,47,0,5,0,38.0,7.0,47
7,74,1,6,6,65.0,11.200000000000001,74
1,78,0,8,0,54.0,1.0,78
9,67,1,7,4,65.0,12.6,67
2,90,0,6,0,68.0,2.0,90
5,43,0,8,2,31.0,6.0,43
5,96,0,7,7,83.0,8.5,96
8,55,0,8,3,49.0,10.4,55
8,52,0,9,0,45.0,8.0,52
7,59,0,4,0,46.0,7.0,59
7,90,0,5,7,85.0,11.9,90
6,44,1,7,7,33.0,10.2,44
6,94,1,7,3,83.0,7.800000000000001,94
9,76,0,4,3,71.0,11.700000000000001,76
6,59,1,7,9,49.0,11.399999999999999,59
2,63,1,7,1,39.0,2.2,63
2,75,0,9,1,51.0,2.2,75
5,73,1,7,5,57.0,7.5,73
4,97,0,7,7,81.0,6.8,97
2,84,1,7,6,65.0,3.2,84
3,87,0,6,6,66.0,4.800000000000001,87
7,93,1,7,2,86.0,8.4,93
8,73,0,4,1,66.0,8.8,73
6,58,1,9,9,50.0,11.399999999999999,58
5,56,1,7,6,46.0,8.0,56
1,44,1,8,3,20.0,1.3,44
8,64,0,9,0,58.0,8.0,64
3,57,0,9,0,38.0,3.0,57
6,99,1,8,3,91.0,7.800000000000001,99
3,94,1,4,4,77.0,4.199999999999999,94
7,92,0,6,4,83.0,9.799999999999999,92
7,89,1,4,0,79.0,7.0,89
9,47,1,6,2,50.0,10.799999999999999,47
5,66,0,5,5,51.0,7.5,66
8,54,0,8,9,49.0,15.2,54
8,84,1,9,6,79.0,12.8,84
1,52,0,9,0,26.0,1.0,52
5,55,1,9,7,42.0,8.5,55
3,61,1,8,3,42.0,3.9000000000000004,61
1,59,0,8,8,35.0,1.8,59
4,52,1,6,5,31.0,6.0,52
8,59,0,9,0,50.0,8.0,59
3,41,0,4,1,18.0,3.3000000000000003,41
2,74,1,6,2,50.0,2.4,74
9,86,0,9,1,82.0,9.9,86
5,94,1,8,9,78.0,9.5,94
7,58,0,8,6,53.0,11.200000000000001,58
2,84,1,8,0,65.0,2.0,84
9,76,0,9,8,76.0,16.2,76
9,97,1,8,1,94.0,9.9,97
4,93,1,5,3,79.0,5.2,93
4,45,0,8,7,27.0,6.8,45
6,53,1,9,2,43.0,7.199999999999999,53
6,43,1,6,8,30.0,10.8,43
1,61,1,8,6,37.0,1.6,61
9,90,1,7,9,90.0,17.099999999999998,90
2,94,1,5,2,68.0,2.4,94
5,78,1,9,2,64.0,6.0,78
9,75,0,8,4,73.0,12.6,75
4,73,0,7,4,53.0,5.6,73
3,66,0,9,9,46.0,5.699999999999999,66
7,46,0,6,4,37.0,9.799999999999999,46
6,42,1,5,8,29.0,10.8,42
8,86,1,8,8,80.0,14.4,86
3,72,0,6,5,52.0,4.5,72
5,41,1,9,6,29.0,8.0,41
4,81,0,7,9,70.0,7.6,81
4,55,1,9,7,40.0,6.8,55
4,64,1,9,8,49.0,7.2,64
8,99,0,5,5,92.0,12.0,99
6,54,1,8,7,46.0,10.2,54
3,63,0,6,1,42.0,3.3000000000000003,63
5,54,0,5,9,41.0,9.5,54
6,70,0,7,7,60.0,10.2,70
5,53,1,8,1,41.0,5.5,53
6,93,1,5,7,83.0,10.2,93
8,53,0,7,1,43.0,8.8,53
7,45,1,7,2,36.0,8.4,45
5,53,0,6,6,38.0,8.0,53
6,56,0,9,8,47.0,10.8,56
4,57,1,7,2,40.0,4.8,57
9,59,0,7,4,59.0,12.6,59
4,90,1,9,8,76.0,7.2,90
1,56,1,4,6,31.0,1.6,56
7,55,1,7,1,44.0,7.700000000000001,55
7,79,0,8,4,71.0,9.799999999999999,79
4,78,0,5,4,59.0,5.6,78
3,91,1,9,8,69.0,5.4,91
8,71,1,9,1,63.0,8.8,71
5,99,0,9,0,87.0,5.0,99
7,83,1,8,3,77.0,9.1,83
4,48,1,9,3,31.0,5.2,48
4,66,0,8,0,47.0,4.0,66
8,85,0,6,9,78.0,15.2,85
8,91,0,4,6,86.0,12.8,91
2,72,1,9,1,48.0,2.2,72
2,49,0,4,8,24.0,3.6,49
3,56,0,9,6,39.0,4.800000000000001,56
3,88,0,8,6,71.0,4.800000000000001,88
1,88,0,5,0,60.0,1.0,88
3,75,0,4,8,54.0,5.4,75
6,56,0,4,9,45.0,11.399999999999999,56
8,57,0,8,8,51.0,14.4,57
6,91,1,4,1,78.0,6.6000000000000005,91
5,62,0,6,9,48.0,9.5,62
4,73,1,8,8,59.0,7.2,73
3,47,1,4,1,28.0,3.3000000000000003,47
4,52,0,4,1,35.0,4.4,52
7,62,1,4,7,55.0,11.9,62
1,96,0,8,2,69.0,1.2,96
7,93,1,5,2,87.0,8.4,93
1,59,0,7,6,32.0,1.6,59
2,61,1,9,9,37.0,3.8,61
4,86,0,4,5,66.0,6.0,86
1,91,0,7,6,66.0,1.6,91
9,62,1,7,5,56.0,13.5,62
6,80,1,4,8,70.0,10.8,80
1,74,0,4,1,48.0,1.1,74
1,42,1,9,7,17.0,1.7,42
6,73,0,7,5,59.0,9.0,73
4,72,1,5,3,56.0,5.2,72
4,85,0,7,5,66.0,6.0,85
6,56,1,5,5,41.0,9.0,56
7,84,0,6,9,76.0,13.299999999999999,84
9,58,1,5,2,54.0,10.799999999999999,58
5,69,0,9,7,57.0,8.5,69
9,62,1,8,4,62.0,12.6,62
4,54,0,4,9,38.0,7.6,54
2,98,1,6,3,73.0,2.6,98
3,96,1,7,1,72.0,3.3000000000000003,96
1,53,0,5,9,28.0,1.9,53
6,41,1,6,0,28.0,6.0,41
6,78,1,8,6,67.0,9.600000000000001,78
1,88,0,5,9,62.0,1.9,88
3,57,0,9,2,36.0,3.5999999999999996,57
5,45,0,7,2,33.0,6.0,45
3,98,0,7,2,74.0,3.5999999999999996,98
3,71,1,5,9,52.0,5.699999999999999,71
3,60,1,8,2,38.0,3.5999999999999996,60
5,79,1,4,1,62.0,5.5,79
5,67,0,4,5,50.0,7.5,67
4,66,1,7,9,48.0,7.6,66
1,41,1,8,2,15.0,1.2,41
5,72,0,7,0,51.0,5.0,72
5,55,1,4,9,37.0,9.5,55
4,78,1,7,8,59.0,7.2,78
6,61,0,5,5,46.0,9.0,61
4,95,1,9,5,78.0,6.0,95
7,82,0,5,9,74.0,13.299999999999999,82
7,86,0,9,8,78.0,12.6,86
2,52,1,8,1,27.0,2.2,52
3,95,1,4,9,74.0,5.699999999999999,95
1,41,1,8,8,15.0,1.8,41
8,53,0,8,2,46.0,9.6,53
9,95,0,4,2,90.0,10.799999999999999,95
4,77,1,6,2,58.0,4.8,77
6,80,1,6,0,65.0,6.0,80
9,67,0,7,9,65.0,17.099999999999998,67
6,46,1,6,6,36.0,9.600000000000001,46
9,57,1,5,9,52.0,17.099999999999998,57
4,95,0,9,6,79.0,6.4,95
8,80,1,8,1,74.0,8.8,80
9,94,1,7,5,93.0,13.5,94
4,75,1,8,3,57.0,5.2,75
5,80,1,4,6,65.0,8.0,80
8,75,0,6,6,69.0,12.8,75
6,83,0,4,3,71.0,7.800000000000001,83
7,43,0,7,2,31.0,8.4,43
3,96,0,9,6,78.0,4.800000000000001,96
7,69,1,5,8,60.0,12.6,69
8,63,1,6,3,58.0,10.4,63
6,59,1,4,5,46.0,9.0,59
9,85,1,9,6,87.0,14.4,85
6,95,0,6,9,81.0,11.399999999999999,95
9,70,1,8,2,69.0,10.799999999999999,70
4,63,1,5,4,46.0,5.6,63
8,46,0,9,0,41.0,8.0,46
4,65,0,6,5,50.0,6.0,65
2,52,0,5,4,24.0,2.8,52
9,93,1,9,6,97.0,14.4,93
5,47,0,8,8,35.0,9.0,47
4,94,1,8,3,82.0,5.2,94
2,44,1,4,8,24.0,3.6,44
1,83,0,7,5,59.0,1.5,83
7,52,0,4,4,42.0,9.799999999999999,52
6,68,0,5,1,56.0,6.6000000000000005,68
2,59,1,4,0,30.0,2.0,59
8,53,1,9,7,49.0,13.6,53
4,71,1,6,5,56.0,6.0,71
8,99,0,9,6,98.0,12.8,99
7,89,1,4,5,79.0,10.5,89
5,66,1,7,9,54.0,9.5,66
8,95,1,9,6,93.0,12.8,95
9,64,1,9,8,63.0,16.2,64
5,91,0,9,4,76.0,7.0,91
5,43,1,7,0,27.0,5.0,43
2,60,0,9,0,35.0,2.0,60
5,57,0,5,8,39.0,9.0,57
3,78,1,8,4,59.0,4.199999999999999,78
7,54,1,7,1,50.0,7.700000000000001,54
5,92,0,5,2,77.0,6.0,92
8,77,1,7,0,70.0,8.0,77
1,87,0,7,5,62.0,1.5,87
3,91,1,8,5,71.0,4.5,91
3,63,1,6,2,39.0,3.5999999999999996,63
9,47,0,5,2,41.0,10.799999999999999,47
5,67,1,7,6,51.0,8.0,67
9,60,0,7,0,52.0,9.0,60
9,55,0,4,4,49.0,12.6,55
1,99,1,9,2,76.0,1.2,99
2,93,0,6,4,71.0,2.8,93
5,55,1,8,3,42.0,6.5,55
4,74,1,5,5,60.0,6.0,74
9,56,1,7,8,53.0,16.2,56
7,48,0,9,1,40.0,7.700000000000001,48
6,96,1,5,9,85.0,11.399999999999999,96
7,74,1,8,7,70.0,11.9,74
1,91,0,6,1,63.0,1.1,91
1,68,0,4,3,42.0,1.3,68
8,78,0,6,8,73.0,14.4,78
2,57,0,4,3,35.0,2.6,57
9,51,1,5,6,48.0,14.4,51
7,58,1,6,4,49.0,9.799999999999999,58
6,87,1,6,1,75.0,6.6000000000000005,87
1,61,1,6,7,35.0,1.7,61
1,98,0,8,9,70.0,1.9,98
2,95,0,5,9,71.0,3.8,95
6,88,1,4,1,74.0,6.6000000000000005,88
6,91,0,6,2,77.0,7.199999999999999,91
2,54,0,5,9,30.0,3.8,54
1,40,0,9,6,13.0,1.6,40
5,41,0,8,4,26.0,7.0,41
5,47,0,8,9,35.0,9.5,47
2,61,1,9,2,40.0,2.4,61
6,64,1,5,1,55.0,6.6000000000000005,64
9,41,0,4,5,37.0,13.5,41
2,90,0,5,9,64.0,3.8,90
2,48,1,5,0,23.0,2.0,48
3,48,1,7,7,27.0,5.1,48
7,52,0,8,4,42.0,9.799999999999999,52
6,45,0,4,4,34.0,8.399999999999999,45
8,69,0,7,1,63.0,8.8,69
8,54,1,9,6,50.0,12.8,54
6,90,0,5,4,75.0,8.399999999999999,90
3,92,0,9,7,74.0,5.1,92
3,54,0,8,4,39.0,4.199999999999999,54
1,89,0,7,8,63.0,1.8,89
7,46,0,7,4,36.0,9.799999999999999,46
5,97,0,4,2,84.0,6.0,97
4,50,0,5,1,30.0,4.4,50
4,79,0,4,4,60.0,5.6,79
4,77,1,7,9,61.0,7.6,77
6,79,1,7,9,70.0,11.399999999999999,79
8,41,1,4,4,32.0,11.2,41
8,90,0,7,5,87.0,12.0,90
5,87,1,6,1,72.0,5.5,87
6,78,1,8,4,68.0,8.399999999999999,78
4,49,1,5,0,29.0,4.0,49
9,83,1,8,2,78.0,10.799999999999999,83
8,56,1,5,2,45.0,9.6,56
1,46,0,7,2,20.0,1.2,46
2,93,1,4,2,66.0,2.4,93
9,79,0,4,7,77.0,15.299999999999999,79
8,78,0,7,0,72.0,8.0,78
3,43,1,5,5,26.0,4.5,43
8,74,0,7,5,67.0,12.0,74
1,90,1,5,0,67.0,1.0,90
4,86,0,7,0,68.0,4.0,86
3,75,0,7,2,56.0,3.5999999999999996,75
6,70,1,7,7,61.0,10.2,70
7,64,0,4,5,50.0,10.5,64
4,80,0,5,3,68.0,5.2,80
7,52,0,9,4,47.0,9.799999999999999,52
9,57,0,7,9,56.0,17.099999999999998,57
2,60,0,8,2,40.0,2.4,60
3,87,0,8,5,68.0,4.5,87
5,40,0,4,5,26.0,7.5,40
3,75,0,6,5,55.0,4.5,75
8,89,1,9,8,84.0,14.4,89
8,47,0,4,9,40.0,15.2,47
8,91,1,6,7,85.0,13.6,91
9,87,1,4,5,85.0,13.5,87
4,60,0,8,1,40.0,4.4,60
5,82,0,7,3,68.0,6.5,82
5,91,1,5,5,74.0,7.5,91
8,92,1,7,8,90.0,14.4,92
7,92,1,8,1,82.0,7.700000000000001,92
9,60,0,5,5,57.0,13.5,60
8,66,0,6,9,61.0,15.2,66
2,58,0,6,9,38.0,3.8,58
4,62,1,8,9,46.0,7.6,62
6,90,0,5,6,80.0,9.600000000000001,90
2,89,0,7,7,67.0,3.4,89
7,90,0,8,8,84.0,12.6,90
3,82,0,6,4,58.0,4.199999999999999,82
3,74,1,8,8,55.0,5.4,74
2,79,0,7,8,57.0,3.6,79
8,91,0,4,6,87.0,12.8,91
6,90,1,9,1,80.0,6.6000000000000005,90
1,81,0,9,7,54.0,1.7,81
1,87,1,9,4,64.0,1.4,87
7,44,1,4,7,33.0,11.9,44
8,91,0,7,1,83.0,8.8,91
5,80,1,5,6,66.0,8.0,80
5,47,0,8,4,33.0,7.0,47
4,50,1,7,3,31.0,5.2,50
6,55,1,4,9,40.0,11.399999999999999,55
6,78,0,6,5,66.0,9.0,78
3,86,1,9,4,67.0,4.199999999999999,86
9,63,0,9,5,64.0,13.5,63
7,60,0,7,8,52.0,12.6,60
1,91,0,9,0,68.0,1.0,91
7,62,0,9,0,58.0,7.0,62
5,88,1,7,5,72.0,7.5,88
5,77,0,7,1,65.0,5.5,77
2,86,1,4,7,65.0,3.4,86
4,47,0,4,6,24.0,6.4,47
6,46,1,9,5,35.0,9.0,46
7,41,1,7,3,34.0,9.1,41
5,69,1,7,8,57.0,9.0,69
9,52,1,9,6,54.0,14.4,52
3,62,0,5,6,42.0,4.800000000000001,62
1,68,0,6,4,39.0,1.4,68
4,77,1,8,0,62.0,4.0,77
9,76,1,8,1,71.0,9.9,76
4,59,0,9,7,42.0,6.8,59
2,72,1,8,4,52.0,2.8,72
5,68,1,4,1,54.0,5.5,68
3,89,0,4,4,68.0,4.199999999999999,89
9,54,1,5,7,50.0,15.299999999999999,54
4,62,1,9,3,46.0,5.2,62
6,81,0,4,2,68.0,7.199999999999999,81
2,42,1,9,4,19.0,2.8,42
6,76,0,9,6,68.0,9.600000000000001,76
3,95,0,7,1,74.0,3.3000000000000003,95
9,68,0,6,0,63.0,9.0,68
2,84,0,6,4,60.0,2.8,84
9,47,1,9,6,47.0,14.4,47
5,61,0,6,7,47.0,8.5,61
8,92,0,6,7,87.0,13.6,92
2,68,1,8,9,45.0,3.8,68
6,41,0,8,8,31.0,10.8,41
3,80,1,7,0,61.0,3.0,80
5,88,0,5,6,73.0,8.0,88
8,98,0,4,9,92.0,15.2,98
1,89,0,4,7,65.0,1.7,89
5,84,0,8,5,69.0,7.5,84
3,40,1,9,9,20.0,5.699999999999999,40
4,83,1,6,3,66.0,5.2,83
2,59,1,7,6,38.0,3.2,59
9,91,0,5,2,81.0,10.799999999999999,91
3,60,0,8,1,39.0,3.3000000000000003,60
2,76,0,9,5,53.0,3.0,76
9,47,1,7,1,44.0,9.9,47
7,66,0,9,5,58.0,10.5,66
6,86,1,7,9,79.0,11.399999999999999,86
1,98,1,8,2,75.0,1.2,98
5,74,1,7,1,59.0,5.5,74
3,45,0,6,7,23.0,5.1,45
1,99,0,7,3,74.0,1.3,99
4,84,0,5,3,65.0,5.2,84
2,83,0,7,6,60.0,3.2,83
2,58,1,4,7,32.0,3.4,58
3,57,1,7,8,38.0,5.4,57
8,95,0,9,9,91.0,15.2,95
8,40,0,8,7,34.0,13.6,40
7,64,0,4,3,46.0,9.1,64
6,66,1,8,1,55.0,6.6000000000000005,66
9,46,0,9,9,43.0,17.099999999999998,46
4,83,1,5,4,67.0,5.6,83
1,81,1,6,6,56.0,1.6,81
8,68,1,5,1,58.0,8.8,68
7,70,1,4,3,60.0,9.1,70
7,83,1,9,5,77.0,10.5,83
3,82,1,9,7,69.0,5.1,82
4,75,1,6,9,60.0,7.6,75
9,58,0,7,5,52.0,13.5,58
6,45,0,4,5,36.0,9.0,45
5,64,0,6,5,49.0,7.5,64
3,70,1,8,3,50.0,3.9000000000000004,70
9,48,1,6,2,48.0,10.799999999999999,48
5,59,0,8,0,43.0,5.0,59
5,49,1,8,1,34.0,5.5,49
4,76,1,9,1,57.0,4.4,76
4,66,1,6,9,50.0,7.6,66
1,52,1,9,6,28.0,1.6,52
7,80,1,9,5,72.0,10.5,80
9,41,1,5,7,38.0,15.299999999999999,41
3,89,1,5,8,68.0,5.4,89
2,60,1,9,4,41.0,2.8,60
3,72,1,9,2,53.0,3.5999999999999996,72
1,63,1,8,3,36.0,1.3,63
6,92,1,9,7,80.0,10.2,92
7,83,1,4,2,73.0,8.4,83
2,81,0,6,1,59.0,2.2,81
8,73,1,4,6,67.0,12.8,73
6,99,1,5,3,91.0,7.800000000000001,99
4,48,0,4,7,34.0,6.8,48
5,41,0,7,0,23.0,5.0,41
8,94,0,7,7,86.0,13.6,94
3,95,1,5,4,73.0,4.199999999999999,95
3,69,1,4,1,49.0,3.3000000000000003,69
4,61,0,6,0,43.0,4.0,61
1,85,0,5,5,61.0,1.5,85
9,50,0,7,8,45.0,16.2,50
8,94,1,5,8,85.0,14.4,94
8,82,1,4,8,75.0,14.4,82
6,56,0,4,3,44.0,7.800000000000001,56
7,75,1,4,5,66.0,10.5,75
6,52,1,8,9,45.0,11.399999999999999,52
9,46,0,4,5,40.0,13.5,46
3,55,0,9,4,38.0,4.199999999999999,55
3,72,0,7,1,50.0,3.3000000000000003,72
3,84,1,7,6,67.0,4.800000000000001,84
3,40,1,8,0,21.0,3.0,40
9,50,1,7,5,51.0,13.5,50
4,45,1,7,4,25.0,5.6,45
7,59,1,5,4,53.0,9.799999999999999,59
9,74,0,4,7,71.0,15.299999999999999,74
7,83,1,9,8,77.0,12.6,83
9,76,1,9,6,75.0,14.4,76
3,80,0,5,9,60.0,5.699999999999999,80
4,65,0,9,7,49.0,6.8,65
8,97,0,5,1,87.0,8.8,97
6,51,0,9,1,40.0,6.6000000000000005,51
5,69,1,7,7,56.0,8.5,69
4,67,1,6,5,49.0,6.0,67
8,66,0,4,7,59.0,13.6,66
1,81,1,6,8,59.0,1.8,81
9,58,0,7,8,54.0,16.2,58
1,44,1,8,5,17.0,1.5,44
8,97,1,5,7,90.0,13.6,97
4,44,1,9,1,23.0,4.4,44
9,80,0,9,7,82.0,15.299999999999999,80
5,66,0,7,2,49.0,6.0,66
3,67,1,9,0,50.0,3.0,67
9,65,1,7,6,60.0,14.4,65
9,66,0,6,0,60.0,9.0,66
4,91,0,8,0,74.0,4.0,91
4,88,1,5,0,71.0,4.0,88
8,81,1,9,3,77.0,10.4,81
2,60,0,8,3,34.0,2.6,60
9,40,1,8,9,39.0,17.099999999999998,40
6,93,0,8,5,85.0,9.0,93
9,67,0,4,9,64.0,17.099999999999998,67
8,87,1,8,2,87.0,9.6,87
